"","Donor(s)","Official Donors, Total","DAC Countries, Total","Non-DAC Countries, Total","Multilateral Agencies, Total","Private Donors, Total","Australia","Austria","Belgium","Canada","Czech Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Japan","Korea","Luxembourg","Netherlands","New Zealand","Norway","Poland","Portugal","Slovak Republic","Slovenia","Spain","Sweden","Switzerland","United Kingdom","United States","EU Institutions","Azerbaijan","Bulgaria","Croatia","Cyprus","Estonia","Israel","Kazakhstan","Kuwait","Latvia","Liechtenstein","Lithuania","Malta","Qatar","Romania","Russia","Saudi Arabia","Chinese Taipei","Thailand","Timor-Leste","Turkey","United Arab Emirates","Other donor countries","International Monetary Fund, Total","IMF (Concessional Trust Funds)","Regional Development Banks, Total","African Development Bank, Total","African Development Bank [AfDB]","African Development Fund [AfDF]","Asian Development Bank, Total","Asian Development Bank [AsDB]","Inter-American Development Bank, Total","Inter-American Development Bank [IDB]","Asian Infrastructure Investment Bank [AIIB]","Caribbean Development Bank [CarDB]","Council of Europe Development Bank [CEB]","European Bank for Reconstruction and Development [EBRD]","Islamic Development Bank [IsDB]","United Nations, Total","Food and Agriculture Organisation [FAO]","International Atomic Energy Agency [IAEA]","IFAD","International Labour Organisation [ILO]","UNAIDS","UNDP","UNECE","UNEP","UNFPA","UNHCR","UNICEF","UN Institute for Disarmament Research [UNIDIR]","UN Peacebuilding Fund [UNPBF]","UNRWA","UNTA","WFP","World Health Organisation [WHO]","World Tourism Organisation [UNWTO]","World Bank Group, Total","World Bank, Total","International Bank for Reconstruction and Development [IBRD]","International Development Association [IDA]","International Finance Corporation [IFC]","Other Multilateral, Total","Adaptation Fund","Arab Bank for Economic Development in Africa [BADEA]","Arab Fund (AFESD)","Center of Excellence in Finance [CEF]","Central Emergency Response Fund [CERF]","Climate Investment Funds [CIF]","Global Alliance for Vaccines and Immunization [GAVI]","Global Environment Facility [GEF]","Global Fund","Global Green Growth Institute [GGGI]","Green Climate Fund [GCF]","Montreal Protocol","Nordic Development Fund [NDF]","OPEC Fund for International Development [OPEC Fund]","OSCE","Other Multilaterals","Arcadia Fund","Arcus Foundation","BBVA Microfinance Foundation","Bernard van Leer Foundation","Bill & Melinda Gates Foundation","Carnegie Corporation of New York","Charity Projects Ltd (Comic Relief)","Children's Investment Fund Foundation","Citi Foundation","Conrad N. Hilton Foundation","David & Lucile Packard Foundation","Ford Foundation","Gatsby Charitable Foundation","Gordon and Betty Moore Foundation","Grameen Crédit Agricole Foundation","H&M Foundation","IKEA Foundation","Jacobs Foundation","John D. & Catherine T. MacArthur Foundation","La Caixa Banking Foundation","Laudes Foundation","LEGO Foundation","Margaret A. Cargill Foundation","MasterCard Foundation","MAVA Foundation","McKnight Foundation","MetLife Foundation","Michael & Susan Dell Foundation","Oak Foundation","Omidyar Network Fund, Inc.","Rockefeller Foundation","Wellcome Trust","William & Flora Hewlett Foundation","World Diabetes Foundation","Dutch Postcode Lottery","Norwegian Postcode Lottery","People's Postcode Lottery","Swedish Postcode Lottery","G7 Countries, Total","DAC-EU Countries, Total","United Postcode Lotteries, Total"
"Samoa","","124.44","89.41",,"35.03",,"42.76",,,"0.07",,,,"-0.03","0.01",,,,,,"27.02","0.03",,,"17.76",,,,,,"0.01","0.02","0.05","0.23","1.48","11.42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.67",,,"-0.07",,,"0.74",,,,,,,,,,,,,"22.52","22.52",,"22.52",,"0.43",,,,,,,,"0.67",,,,,,"-0.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28.78","0.24",
"Sao Tome and Principe","","50.19","33.04",,"17.15",,,"0.01",,,,,,"2.38","0.02","0.03",,,,,"3.6",,,,,,,"25.71",,,"1.27",,,,"0.02","5.95",,,,,,,,,,,,,,,,,,,,,,,"0.56","0.56","0.25","0.25",,"0.25",,,,,,,,,,"4.06",,,"1.34",,,"1.34",,,"0.58",,"0.7",,,,,"0.1",,,"2.13","2.13",,"2.13",,"4.2",,"1.24",,,,,"0.07","0.93","1.06",,,,,"0.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.02","29.42",
"Saudi Arabia","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Senegal","","936.4","535.03","13.82","387.55","3.67","0.43","0.93","17.74","56.71","0.02","0.24","0.99","157.23","23.06",,,,"0.07","7.19","55.21","14.85","18.84","29.98",,"0.3","0.02","0.26",,,"45.57","0.43","1.98","0.93","102.05","84.05",,,,,,"0.13",,"17.41",,,,,,"0.01",,,,"0.1",,"2.01","-5.84",,"48.84","48.84","78.22","63.57",,"63.57",,,,,,,,,"14.65","21.06",,"0.79","3.29",,"0.22","4.58",,,"2.08","2.9","6.11",,,,,"1.09",,,"110.44","110.44",,"110.44",,"44.94","8.62","8.25",,,,,"4.98","5.57","18.58",,,,"1.49","-2.55",,,,,,,"3.67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"402.38","303.5",
"Serbia","","661.47","319.08","4.96","337.43",,,"13.19","0.88","0.77","3.58","0.37","7.33","13.95","126.26","12.26","3.34",,"0.04","2.32","5.18","0.06","0.67","3.78",,"20.24","-3.25","12.54","1.35","0.96","0.44","17.59","11.91","5.4","57.92","290.13",,,,"0.04","0.01","0.11",,,,,,,,"1.05",,,,,,"3.75",,,,,"0.02",,,,,,,,,,,,"0.02","6.24",,"1.85",,,"0.04","1.08",,,"0.69","1.67","0.91",,,,,,,,"24.67","24.67",,"24.67",,"16.37",,,,,,,,"1.55","5.68",,,,,,"9.14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"211.8","223",
"Seychelles","","53.93","29.25","17.13","7.55",,,,"1.02",,,,,"10.48","0.52",,,,,"8.31","9.57","0.01",,,"0.06",,,,,,"-0.77",,,"0.04","0.01","4.62",,,,,,"0.01",,"-0.33",,,,,,,,,,,,,"17.44",,,,"-0.72","-0.72",,"-0.72",,,,,,,,,,"0.33",,"0.22",,,,,,,"0.11",,,,,,,,,,,,,,,"3.32",,"2.36",,,,,,"1.27",,,,,,"-0.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28.93","19.6",
"Sierra Leone","","458.3","190.9","0.88","266.52","0.74","0.32","0.13","0.11","33.02","0.02","4.78","1.54","0.32","13.32","0.17",,,"11.91","0.34","12.21","0.09","0.1","1.1","0.02","2.98","0.01","0.01",,"0.02","1.94","0.5","0.06","84.79","21.09","80.34",,,,,,"0.04",,"0.65",,,,,,,,,,,,"0.04","0.15",,"40.68","40.68","20.55","17.57",,"17.57",,,,,,,,,"2.98","29.99",,"0.29","3.41",,"0.7","5.78",,,"2.59","0.68","10.19",,"4.88",,,"1.47",,,"57.29","57.29",,"57.29",,"37.67",,"8.51",,,,,"8.06","1.94","17.84",,,,,"1.32",,,,,,,"0.74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"165.09","121.11",
"Singapore","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Slovenia","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Solomon Islands","","332.85","296.42","-0.42","36.85",,"254",,,"0.05",,,"0.07",,"0.01",,,,"0.01",,"16.33","0.01",,,"25.48","0.01",,,,,,,,"0.22","0.23","24.97",,,,,,"0.02",,"-0.44",,,,,,,,,,,,,,,"9.52","9.52",,,,,,,,,,,,,,"0.79",,,"-0.1",,,"0.89",,,,,,,,,,,,,"0.05","0.05",,"0.05",,"1.52",,,,,,,"0.17",,"1.51",,,,,"-0.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16.84","0.31",
"Somalia","","505.68","316.7","8.26","180.72","0.34","5.13","0.11","5.69","4.38","0.17","17.48","9.16","3.5","12.46","0.03",,,"6.58","10.53","29.07","0.01","0.85","9.32","0.04","31.59","0.01",,,,"5.89","25.88","8.96","62.33","67.53","127.13",,,,,,"0.01",,,,,,,,,,,,,,"5.81","2.44",,,,"1.38",,,,,,,,,,,,"1.38","25.29",,,,,"0.09","8.88",,,"1.82","0.57","11.12",,"0.51",,,"2.3",,,,,,,,"26.92",,,,,,,,,"26.92",,,,,,,,,,,,"0.34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"189.8","169.99",
"South Africa","","1036.27","818.01","1.49","216.78","12.11","3.5","1.19","15.33","16.48","0.02","21.43","5.55","47.63","39.53","0.92","0.22",,"8.43","0.28","7.11","0.28","0.36","36.05","1.03","24.74","0.03","0.05",,"0.02","1.12","14.3","7.45","39.29","525.67","153.11",,,,,,"1",,,,,,,,,,,,"0.04",,"0.05","0.4",,,,,,,,,,,,,,,,,"9.42",,"0.78",,,"1.49","0.66",,,"1.67","3.66","1.16",,,,,,,,,,,,,"54.25",,,,,,,,"10.6","43.65",,,,,,,,,,,,"12.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"675.99","231.75",
"South Sudan","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sri Lanka","","558.59","388.86","3.17","166.56","1.47","61.22","1.58","0.22","11.47","0.21","-2.12","3.17","45.13","-6.37","0.2","0.05",,"0.24","0.72","155.43","43.47","0.72","3.62","0.19","28.96","0.04","0.04",,,"-0.73","11.05","9.94","-8.5","28.91","48.1",,,,,,"0.12",,"2.41",,,"0.03",,,,,,,"0.2",,"0.2","0.21",,"-11.71","-11.71","0.07",,,,,,,,,,,,"0.07","19.68",,"0.69","7.7",,"0.3","3.37",,,"2.95",,"0.74",,"1.78",,,"2.15",,,"93.93","93.93",,"93.93",,"16.49",,,,,,,"6.32","3.04","9.45",,,,"-0.51","-1.81",,,,,,,"1.47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"226.79","49.27",
"States Ex-Yugoslavia unspecified","","17.64","8.67","0.02","8.95",,,"2.67","0.06",,,,,"2.1",,,,,,"0.37",,,"0.01",,,"0.25",,"0.69",,"2.52",,,,,,"8.95",,,,,,"0.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.47","8.42",
"Sudan","","2025.85","1508.75","32.37","484.73","0.65","10.17","0.42","13.48","108.27","0.06","35.99","21.55","10.08","39.18","1.04","0.01",,"14.1","12.77","119.08","1.56","2.64","86.71",,"116.7","0.06",,"0.75","0.04","22.98","59.12","17.05","119.08","695.86","284.17",,,,"0.04","0.08","5.13",,"-6.74",,,,,,"0.02",,,,"0.02",,"11.24","22.58",,,,"7.43","1.88",,"1.88",,,,,,,,,"5.55","51.69",,"0.66","7.73",,"0.93","8.73",,,"6.94",,"22.8",,"1.62",,,"2.28",,,,,,,,"141.44",,,"36.39",,,,"25.52","1.36","75.22",,,,,"2.95",,,,,,,"0.65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1104.32","440.06",
"Suriname","","100.81","79.84",,"20.97",,"0.11",,"2.24","0.13",,,"0.08","0.72","0.09",,,,,,"0.01","0.01",,"76.3",,,,,,,,,,,"0.15","17.35",,,,,,,,,,,,,,,,,,,,,,,,,"-0.28",,,,,,,,,,,,"-0.28","0.49",,,,,,"0.49",,,,,,,,,,,,,,,,,,"3.41",,,,,,,,"0.36","3.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.1","79.43",
"Syrian Arab Republic","","131.06","44.4","-32.44","119.1",,"0.1","0.39","0.17","0.14","0.29","4.86","0.46","23.05","45.85","3.55","0.01",,,"0.85","-54.69","0.17",,"0.09",,"1.3","0.1",,,,"6.08","0.23","2.64","1.95","6.81","51.59",,,,,,,,"-47.29",,,,,,"0.26",,,,,,"9.52","5.07",,,,"0.97",,,,,,,,,,,,"0.97","106.18",,"0.87","5.06",,,"1.62",,,"1.88","47.01","0.82",,,"45.04",,"3.88",,,"-1.46","-1.46",,"-1.46",,"-38.18",,,"-45.71",,,,,"0.65","1.47",,,,,"5.41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23.96","87.93",
"Tajikistan","","387.95","161.3","6.73","219.93",,"0.05","0.13",,"0.7","0.08","0.49","0.81","0.19","34.68",,"0.01",,"0.02","0.01","43.42","2.4","0.32","0.55",,"3.2","0.04",,,,"0.02","5.31","13.8","12.52","42.55","36.64",,,,,,"0.2",,"-0.39",,,"0.01",,,,,,,"0.01",,"5.81","1.08",,"59.75","59.75","11.99",,,,,,,,,,,,"11.99","12.74",,"0.54","0.54",,"0.16","5.59",,,"1.24","0.13","2.44",,,,,"2.1",,,"61.36","61.36",,"61.36",,"37.45",,,,,,,"2.59","1.84","22.63",,,,,"3.3","7.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"134.07","55.18",
"Tanzania","","2960.31","1654.03","4.67","1301.61","31.8","5.97","0.94","22.45","111.55","0.02","129.39","47.92","21.34","134.48","0.06",,,"49.48","5.21","104.6","21.46","0.03","59.21","0.94","123.95","0.23",,,,"3.21","95.8","19.12","240.94","455.73","192.6",,,,,,"0.05",,"-2.79",,,,,,,,,,"0.02",,"0.45","6.94",,"29.92","29.92","142.45","142.22","0.88","141.34",,,,,,,,,"0.23","55.47",,"1.1","13.25",,"0.72","10.23",,,"4.59","1.92","20.98",,,,,"2.68",,,"693.38","693.38",,"693.38",,"187.79",,"9.78",,,,,"27.18","7.22","142.89",,,,"-0.27","0.99",,,,,,,"31.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1073.85","810.71",
"Thailand","","-20.36","-100.82","0.85","79.61","5.35","8.1","0.87","-0.15","-0.63","0.02","1.29","1.09","-13.57","-23.24","0.08","0.02",,"0.39","1.13","-143.54","2.49","0.4","0.25",,"0.31","0.02","0.04",,,"0.58","7.27","2.3","7.21","46.45","24.11",,,,,,"0.51",,,,,,,,,,,,,,"0.15","0.19",,,,"0.62",,,,,,,,,,,,"0.62","10.6",,"0.89",,,"0.71","1.89",,,"1.78","4.22","1.11",,,,,,,,"-3.38","-3.38",,"-3.38",,"47.66",,,,,,,,"3.69","42.77",,,"1.2",,,,,,,,,"5.35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-126.19","-16.3",
"Timor-Leste","","289.95","257.99","0.49","31.47","0.47","124.01","0.11",,"1.13",,,"0.73","0.12","9.42",,,,"6.15","0.76","27.67","1.82","0.01",,"6.58","7.82",,"33.66",,,"6.02","4.84",,,"27.14","14.55",,,,,,,,,,,,,,,,,,"0.37",,,"0.12",,,,,,,,,,,,,,,,,"7.55",,,,,,"2.15",,,"3.03","0.1","1.24",,"0.78",,,"0.25",,,"4.4","4.4",,"4.4",,"4.97",,,,,,,,"0.16","4.81",,,,,,,,,,,,"0.47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66.24","61.82",
"Togo","","403.38","252.73","0.76","149.89","0.39","0.09","0.72","5.03","23.05",,"1.27","0.41","168.02","8.84","0.03",,,,"11.53","7.54","0.1","0.85","17.62",,"0.09",,,,,"1.59","0.34","1.71","-0.08","3.98","48.92",,,,,,"0.05",,,,,,,,,,,,,,"0.5","0.21",,"43.64","43.64","14.96","-1.3",,"-1.3",,,,,,,,,"16.26","12.14",,,"-0.71",,"0.43","5.84",,,"1.45","0.58","3.53",,,,,"1.02",,,"7.93","7.93",,"7.93",,"22.3",,"0.31",,,,,"3.01","0.66","18.81",,,,,"-0.49",,,,,,,"0.39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"222.88","216.17",
"Tokelau","","14.6","14.5",,"0.1",,"1.38",,,,,,,,,,,,,,,,,,"13.12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.1",,,,,,"0.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tonga","","66.32","57.58",,"8.74",,"20.91",,,"0.07",,,,"0.05",,,,,,,"23.77","0.04",,,"11.42",,,,,,,,,"0.15","1.17","1.62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0.14",,,"-0.14",,,,,,,,,,,,,,,,"7.26","7.26",,"7.26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25.21","0.2",
"Trinidad and Tobago","","4.34","3.52",,"0.82",,"0.48",,,"0.33",,,"0.02","0.48","0.37",,,,"0.06",,"0.07",,,,"0.04",,"0.01",,,,"0.11",,,"0.24","1.31","0.56",,,,,,,,,,,,,,,,,,,,,,,,,"-0.04",,,,,,,,,"-0.04",,,,"0.3",,,,,"0.14","0.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.8","1.29",
"Tunisia","","550.15","355.37","2.83","191.95","0.09",,"0.95","-0.07","-2.85","0.02",,"0.32","126.8","23.86","0.21",,,,"8.65","35.87","4.01",,"-0.71",,,"0.02","0.03",,,"158.03",,"0.96","2.5","-3.23","92.3",,,,,,"0.07",,"4.51",,,,,,"0.03",,,,"0.02",,"0.34","-2.13",,,,"0.07",,,,,,,,,,,,"0.07","2.82",,"0.4",,,"0","0.92",,,"0.5","0.24","0.76",,,,,,,,"-2.11","-2.11",,"-2.11",,"98.87",,,"87.01",,,,,"6.7","7.04",,,"0.15","-0.16","-1.87",,,,,,,"0.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"191.6","320.61",
"Turkey","","1049.59","735.75","15.1","298.74",,"0.11","27.9","-5.05","-2.62","0.87","1","0.34","88.39","-10.25","6.14","0.31",,,"-4.87","543.49","10.26",,"0.32",,"0.13","0.08",,,"0.01","55.96","12.94","0.25","3.75","6.29","295.15",,,,,,"0.8",,"-8.56",,,,,,"0.02",,,,,,,"22.84",,,,"0.07",,,,,,,,,,,,"0.07","6.41",,"0.04",,,"0.13","1.01",,,"1.14","3.12","0.97",,,,,,,,"-5.88","-5.88",,"-5.88",,"2.99",,,,,,,,"3.56",,,,,,"-0.57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"624.18","177.84",
"Turkmenistan","","43.8","12.66","17.11","14.04",,,"0.04","0.01",,"0.05",,"0.12","0.13","1.83","0.02",,,,,"-0.94","1.01","0.04",,,"0.56","0.13",,,,,"0.11","0.02","0.06","9.47","5.65",,,,,,"0.21",,"-0.59",,,,,,"0.1",,,,,,"17.39",,,,,"-0.51",,,,,,,,,,,,"-0.51","2.4",,,,,,"0.81",,,"0.69","0.04","0.86",,,,,,,,,,,,,"6.5",,,,,,,,"0.93","1.79",,,,,"2.33","1.45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10.55","2.54",
"Turks and Caicos Islands","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuvalu","","13.91","12.99",,"0.92",,"6.39",,,,,,,,,,,,,,"4.54","0.13",,,"1.89",,,,,,,,,"0.04",,"0.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.68",,,,,,,,"0.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.58","0.04",
"Uganda","","1690.14","1000.88","1.2","688.07","22.3","2.52","13.07","28.3","5.73","0.14","77.01","5.85","1.77","40.94","0.19",,"3.07","58.01","11.4","71.24","1.88","0.27","36.65",,"71.45","0.03",,,"0.05","4.29","43.29","1.79","179.26","342.68","128.94",,,,,,"0.15",,,,,,,,,,,,"0.01",,"0.85","0.19",,"-0.31","-0.31","101.6","101.04",,"101.04",,,,,,,,,"0.56","58.95",,"0.4","15.84",,"1.02","4.9",,,"6.78","2.21","20.18",,"0.61",,,"7.01",,,"325.73","325.73",,"325.73",,"73.15",,"-0.36",,,,,"7.96","2.42","57.21",,,,"6.99","-1.07",,,,,,,"22.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"653.02","500.52",
"Ukraine","","656.65","435.88","20.69","200.08","5.51",,"6.98","0.14","20.2","3.01","3.58","1.19","21.54","89.11","2.96","3.86",,,"0.28","53.17","1.36","0.03","0.13",,"3.77","11","0.01","0.33","0.1","0.27","31.43","15.46","0.84","165.13","153.02",,,,,"0.16","14.37",,,"0.01",,"0.1",,,"0.77",,,,"0.01",,"5.25","0.02",,,,"0.38",,,,,,,,,,,,"0.38","6.42",,"0.56",,,"0.71","1.97",,,"0.65","1.42","1.11",,,,,,,,,,,,,"40.26",,,,,,,"-0.08","5.26","32.06",,,,,,"3.02",,,,,,"5.51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"350.27","176.79",
"United Arab Emirates","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Uruguay","","45.91","32.9","0.82","12.19",,,,,"0.45",,,"0.12","1.15","0.76","0.07",,,"0.23","8.61","11.36","0.02","0.12","0.07","0.06","0.09",,"0.04",,,"8.41","0.1","0.04","0.07","1.13","7.1",,,,,,"0.79",,,,,,,,,,,,"0.01",,"0.02",,,,,,,,,,,,,,,,,,"3.11",,"0.39",,,"0.12","0.99",,,"0.81",,"0.8",,,,,,,,,,,,,"1.98",,,,,,,,"1.83",,,,,,"0.15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23.53","19.75",
"Uzbekistan","","198.14","85.32","39.48","73.34",,,"0.32","0.02",,"0.31",,"0.02","2.25","25.04","0.37",,,"0.13",,"7.04","32.21","0.35",,,"0.25","-0.63",,"0.08",,"0.23","0.43","1","1.23","14.67","6.47",,,,"0.03","0.13","2.02",,"21.77",,,"0.03",,,,,,,"0.02",,"15.44","0.04",,,,"4.77",,,,,,,,,,,,"4.77","12.55",,"0.39",,,"0.38","6.89",,,"1.09","0.04","3.76",,,,,,,,"32.1","32.1",,"32.1",,"17.46",,,,,,,"7.29","2.37","3.8",,,,,"1.82","2.18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50.23","30.15",
"Vanuatu","","109.47","107.45",,"2.02",,"55.96",,,"0.21",,,,"3.56",,,,,,,"15.61",,,,"12.86",,,,,,"0.03",,,"0.09","19.13","2.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0.55","-0.55",,"-0.55",,"0.52",,,,,,,,"0.52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38.6","3.68",
"Venezuela","","53.11","37.38","0.52","15.21","0.17",,"0.22","0.18","0.42","0.04",,"0.71","6.85","6.99","0.14",,,,"0.37","3.14","0.15",,"0.13",,"0.06","0.02","0.15",,,"8.23","0.07","0.03","1.09","8.39","5.87",,,,,,"0.47",,,,,,,,,,,,,,"0.02","0.03",,,,"0.05",,,,,,,,,,,,"0.05","4.81",,"0.23",,,"0.33","0.6",,,"1.25","1.22","1.18",,,,,,,,,,,,,"4.48",,,,,,,,"4.5",,,,"-0.02",,,,,,,,,"0.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27.25","25.19",
"Viet Nam","","2769.86","1830.71","2.66","936.5","9.88","119.83","2.99","22.24","25","2.36","69.04","25.19","242.42","96.38","0.04","0.32",,"18.31","5.69","807.81","96.04","12.14","21.16","6.47","20.18","4.38",,"0.11",,"15.99","16.56","25.8","82.2","92.06","41.92",,,,,,"0.3",,"1.12",,,"0.24",,,"0.1",,,,"0.73",,"0.01","0.16",,"-37.9","-37.9",,,,,,,,,,,,,,"32.13",,"0.84","15.39",,"0.7","7.49",,,"3.99","0.05","3.67",,,,,,,,"849.5","849.5",,"849.5",,"50.85",,,,,,,"19.43","10.01","12.69",,,"0.11","1.69","6.92",,,,,,,"9.88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1351.56","637.52",
"Wallis and Futuna","","127.44","123.13",,"4.31",,,,,,,,,"123.09",,,,,,,,,,,"0.04",,,,,,,,,,,"4.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"123.09","123.09",
"West Bank and Gaza Strip","","2512.56","1626.43","123.8","762.33",,"38.1","5.24","24.33","65.05","0.84","28.06","11.11","69.29","104.58","6.85","0.14","0.85","6.36","35.04","78.55","7.38","9.45","35.66",,"109.51","0.54","0.01",,"0.17","97.59","58.51","20.98","97.63","714.61","441.1",,,,"0.57","0.51","0.56",,"6.54",,,"0.01",,,"0.48",,,,,,"27.83","87.3",,,,"3.08",,,,,,,,,,,,"3.08","309.98",,"0.13","0.33",,,"4.17",,,"2.02",,"4.27",,,"296.02",,"3.04",,,,,,,,"8.17",,,"0.29",,,,,,"2.28",,,,,"5.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1164.75","591.4",
"Yemen","","667.08","285.53","84.48","297.07",,"1.85","0.02","0.34","2.55","1","3.49","3.64","6.95","82.14","0.02","0.08","0.07","0.09","4.28","26.74","0.45","0.53","26.52","0.36","0.37",,,,,"1.11","7.23","4.08","63.92","47.7","40.73",,,,"0.46",,"0.01",,"10.95",,,,,,"0.02",,,,"0.01",,"6.01","67.02",,"26","26","26.26",,,,,,,,,,,,"26.26","38.4",,"0.57","9.27",,"0.25","7.64",,,"2.25","2.71","7.16",,,,,"8.55",,,"128.75","128.75",,"128.75",,"36.93",,,"9.72",,,,"17.33","1.46","9.04",,,,,"-0.62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"234.28","201.36",
